spanish,english
español, spanish
esta,this
así,So
vamos,come on
algo,something
hay,there is
bueno,Well
tengo,I have
él,he
cuando,when
estás,are
sé,HE
nos,us
nada,nothing
cómo,as
este,this
he,He
ser,be
tiene,has
puedo,I can
ella,she
quiero,wanna
hacer,do
fue,was
gracias,thank you
vez,time
era,was
soy,am
sólo,only
todos,all
porque,because
son,are
tienes,have
creo,believe
voy,go
sabes,You know
estaba,was
puede,can
eres,are
ese,that
usted,you
entonces,so
hola,hello
solo,only
verdad,TRUE
casa,home
tan,so
quién,who
sus,their
tiempo,time
dos,two
esa,that
nunca,never
dónde,where
va,goes
oh,Oh
favor,favor
mucho,a lot
mí,my
quieres,want
siento,I feel
señor,Sir
mejor,better
hace,does
has,you have
decir,say
también,also
sobre,about
dios,God
sin,without
tenemos,have
están,are
puedes,can
ver,see
hombre,man
vida,life
alguien,someone
cosas,things
siempre,always
hasta,until
ahí,there
ir,go
años,years
antes,before
estar,be
ni,neither
poco,bit
día,day
uno,one
noche,evening
hecho,made
mis,my
estamos,we are
otra,other
acuerdo,agreement
trabajo,job
nosotros,us
parece,seems
gente,people
sea,be
padre,father
mira,look
mismo,same
dijo,said
pasado,past
familia,family
estos,these
policía,police
debería,ought
ustedes,you
chica,girl
esos,those
chicos,guys
cuenta,account
haces,you do
todavía,still
salir,go out
algún,some
vaya,Oh
unos,some
veo,I see
amigos,friends
hermano,brother
